"VLADIMIR ZAKHAROVI",KARASIK,"",MOSCOW,"",RU,"",55.752222,37.615556,18,03858263,1975,1973,09/17/1973,"",,12,03858263-18,03858263-18,03858263-18
"VERA NIKOLAEVN",KHODOSOVA,"",MOSCOW,"",RU,"",55.752222,37.615556,19,03858263,1975,1973,09/17/1973,"",,12,03858263-19,03858263-19,03858263-19
"IVAN DEMYANOVI",SERGEEV,"",LENINGRAD,"",RU,"",62.761111,40.339722,2,03858263,1975,1973,09/17/1973,"",,12,03858263-2,03858263-2,03858263-2
"ILYA IOSIFOVIC",BROD,"",LENINGRAD,"",RU,"",62.761111,40.339722,3,03858263,1975,1973,09/17/1973,"",,12,03858263-3,03858263-3,03858263-3
"MIKHAIL NIKOLAEVI",KHARMAN,"",LENINGRAD,"",RU,"",62.761111,40.339722,4,03858263,1975,1973,09/17/1973,"",,12,03858263-4,03858263-4,03858263-4
"LEONID VASILIEVI",PUZYNYA,"",LENINGRAD,"",RU,"",62.761111,40.339722,5,03858263,1975,1973,09/17/1973,"",,12,03858263-5,03858263-5,03858263-5
"IKHIL ABRAMOVIC",VEINBERG,"",LENINGRAD,"",RU,"",62.761111,40.339722,6,03858263,1975,1973,09/17/1973,"",,12,03858263-6,03858263-6,03858263-6
"EKATERINA GEORGIEVN",ZAKHAROVA,"",LENINGRAD,"",RU,"",62.761111,40.339722,7,03858263,1975,1973,09/17/1973,"",,12,03858263-7,03858263-7,03858263-7
"VLADIMIR PAVLOVICH",LAPSHIN,"",MOSCOW,"",RU,"",55.752222,37.615556,8,03858263,1975,1973,09/17/1973,"",,12,03858263-8,03858263-8,03858263-8
"VALENTINA VASILIEVN",KITAEVA,"",MOSCOW,"",RU,"",55.752222,37.615556,9,03858263,1975,1973,09/17/1973,"",,12,03858263-9,03858263-9,03858263-9
"ROBERT C",KUHNS,"","ELM GROVE",WI,US,53122,43.048854,-88.086552,1,03858264,1975,1973,11/30/1973,"KELLY COMPANY INC",H000000061589,14,03858264-1,03858264-1,03858264-1
"ROBERT D",METRO,"",BROOKFIELD,WI,US,53072,43.078937,-88.256368,2,03858264,1975,1973,11/30/1973,"KELLY COMPANY INC",H000000061589,14,03858264-2,03858264-2,03858264-2
"ROLLAND L",SCHLICK,"",ATTLEBORO,MA,US,2703,41.93916,-71.3028,1,03858265,1975,1973,01/15/1973,"",,15,03858265-1,03858265-1,03858265-1
"PAUL P",THOMAS,"",BRYAN,OH,US,43506,41.47543,-84.567219,1,03858266,1975,1973,03/19/1973,"WINZELER STAMPING COMPANY",H000000022440,15/403,03858266-1,03858266-1,03858266-1
ARTHUR,SWANNIE,"",BUFFALO,NY,US,14280,42.886929,-78.871237,1,03858267,1975,1973,12/21/1973,"",,15/294,03858267-1,03858267-1,03858267-1
"JOSEPH J",POLLAK,"",SCOTIA,NY,US,12302,42.856481,-73.956093,1,03858268,1975,1973,10/19/1973,"",,16,03858268-1,03858268-1,03858268-1
"LAWRENCE R",SUTTON,"",DETROIT,MI,US,48288,42.418809,-83.104982,1,03858269,1975,1973,03/22/1973,"PERFORMANCE INDUSTRIES INC",A000011245265,16/D8,03858269-1,03858269-1,03858269-1
"CARL P",RANNO,"","GROSSE POINTE PARK",MI,US,48236,42.424935,-82.900732,2,03858269,1975,1973,03/22/1973,"PERFORMANCE INDUSTRIES INC",A000011245265,16/D8,03858269-2,03858269-2,03858269-2
"KENNETH E",HEWSON,"",FARMINGTON,MI,US,48336,42.458873,-83.346843,3,03858269,1975,1973,03/22/1973,"PERFORMANCE INDUSTRIES INC",A000011245265,16/D8,03858269-3,03858269-3,03858269-3
"WILLIAM P",CROWE,"",LOUISVILLE,KY,US,40299,38.163,-85.5213,1,03858270,1975,1973,11/09/1973,"GENERAL ELECTRIC COMPANY",H000000000005,16,03858270-1,03858270-1,03858270-1
"BERNARD PETER",HOWARD,"",WARWICK,"",GB,"",52.333333,-1.583333,1,03858271,1975,1972,11/20/1972,"",,16,03858271-1,03858271-1,03858271-1
"RONALD DAVID",CARTER,"",WARWICK,"",GB,"",52.333333,-1.583333,2,03858271,1975,1972,11/20/1972,"",,16,03858271-2,03858271-2,03858271-2
"DOUGLAS C",BARD,"",MUSKEGON,MI,US,49445,43.29318,-86.28288,1,03858272,1975,1973,02/21/1973,"BEATRICE COMPANIES INC",H000000002419,16/15/55/220,03858272-1,03858272-1,03858272-1
"ELMER H",BARD,"",MUSKEGON,MI,US,49445,43.29318,-86.28288,2,03858272,1975,1973,02/21/1973,"BEATRICE COMPANIES INC",H000000002419,16/15/55/220,03858272-2,03858272-2,03858272-2
"HERMAN B",GOLDSTEIN,"",CRANSTON,RI,US,2921,41.75918,-71.506674,1,03858273,1975,1971,05/11/1971,"SUN CHEMICAL CORPORATION",H000000001286,428/528,03858273-1,03858273-1,03858273-1
"JOHN T",OUDERKIRK,"",WESTERLY,RI,US,2891,41.3622,-71.796,2,03858273,1975,1971,05/11/1971,"SUN CHEMICAL CORPORATION",H000000001286,428/528,03858273-2,03858273-2,03858273-2
"JOHN C",BURTON,"",SEVILLE,OH,US,44273,41.027572,-81.883128,1,03858274,1975,1973,09/28/1973,"QUESTOR CORP",A000010135978,16,03858274-1,03858274-1,03858274-1
"EUGENE P",HAYTON,"",MEDINA,OH,US,44258,41.101605,-82.12428,2,03858274,1975,1973,09/28/1973,"QUESTOR CORP",A000010135978,16,03858274-2,03858274-2,03858274-2
"MICKEY A",THOMAS,"",DUNCAN,OK,US,73536,34.449703,-97.832209,1,03858275,1975,1973,07/09/1973,"HALLIBURTON CO",A000010043410,19,03858275-1,03858275-1,03858275-1
"JOHN D",HOLLINGSWORTH,"",GREENVILLE,SC,US,29698,34.809759,-82.333042,1,03858276,1975,1973,08/27/1973,"",,19,03858276-1,03858276-1,03858276-1
"ROGER S",BROWN,"","NEW ORLEANS",LA,US,70195,29.953286,-90.071666,1,03858277,1975,1973,10/26/1973,"UNITED STATES OF AMERICA DEPARTMENT OF AGRICULTURE",H000000000074,19,03858277-1,03858277-1,03858277-1
"PHILIP L",RHODES,"",CHALMETTE,LA,US,70044,29.951794,-89.959355,2,03858277,1975,1973,10/26/1973,"UNITED STATES OF AMERICA DEPARTMENT OF AGRICULTURE",H000000000074,19,03858277-2,03858277-2,03858277-2
LUDWIG,SCHMITT,"",MANCHING,"",DE,"",48.716667,11.5,1,03858278,1975,1973,02/28/1973,"SCHUBERT SALZER MASCHINENFABRIK AKTIENGESELLSCHAFT",H000000002066,19,03858278-1,03858278-1,03858278-1
JOACHIM,KIPPING,"",INGOLSTADT,"",DE,"",49.662222,9.9275,2,03858278,1975,1973,02/28/1973,"SCHUBERT SALZER MASCHINENFABRIK AKTIENGESELLSCHAFT",H000000002066,19,03858278-2,03858278-2,03858278-2
"LARS ERIK",BRATTSTROM,"",LUND,"",SE,"",60.516667,16.7,1,03858279,1975,1974,01/29/1974,"SPANSET INTER AG",A000010495067,24,03858279-1,03858279-1,03858279-1
"MARTIN A",MARTENS,"",PEABODY,MA,US,1961,42.534558,-70.968238,1,03858280,1975,1972,11/17/1972,"I D ENGINEERING INC",A000011422361,70/24,03858280-1,03858280-1,03858280-1
"CARL T",LARSON,"",RICHMOND,CA,US,94850,37.947097,-122.381529,1,03858281,1975,1972,12/20/1972,"",,24,03858281-1,03858281-1,03858281-1
"WALTER A",PLUMMER,"","SHERMAN OAKS",CA,US,91495,34.151111,-118.448333,1,03858282,1975,1973,12/05/1973,"",,24/138,03858282-1,03858282-1,03858282-1
"GEORGE W",RUNNELS,"",MEADVILLE,PA,US,16388,41.648956,-80.147265,1,03858283,1975,1973,07/26/1973,"TEXTRON INC",A000010259658,24,03858283-1,03858283-1,03858283-1
"MICHAEL J",COSTA,"",POUGHKEEPSIE,NY,US,12604,41.685996,-73.896069,1,03858284,1975,1973,10/18/1973,"INTERNATIONAL BUSINESS MACHINES CORPORATION",A000010083419,445/313,03858284-1,03858284-1,03858284-1
"JAMES C","GREESON JR","",WOODSTOCK,NY,US,12498,42.032936,-74.116116,2,03858284,1975,1973,10/18/1973,"INTERNATIONAL BUSINESS MACHINES CORPORATION",A000010083419,445/313,03858284-2,03858284-2,03858284-2
"PETER H",HABERLAND,"",WOODSTOCK,NY,US,12498,42.032936,-74.116116,3,03858284,1975,1973,10/18/1973,"INTERNATIONAL BUSINESS MACHINES CORPORATION",A000010083419,445/313,03858284-3,03858284-3,03858284-3
COLIN,WILLIAMS,"",BIGGLESWADE,"",GB,"",52.083333,-.266667,1,03858285,1975,1972,12/05/1972,"IMPERIAL CHEMICAL INDUSTRIES PLC",A000010517934,29/242,03858285-1,03858285-1,03858285-1
ANTONIN,NOHEJL,"",SURBITON,"",GB,"",51.383333,-.3,1,03858286,1975,1972,10/18/1972,"MOLLART ENGINEERING COMPANY LIMITED",H000000119043,483/408/409,03858286-1,03858286-1,03858286-1
"ALBERT B",CHRISTOFFERSEN,"",RODOVRE,"",DK,"",55.683333,12.483333,1,03858287,1975,1973,03/06/1973,"",,492/101,03858287-1,03858287-1,03858287-1
"ELI M",LADIN,"","ANN ARBOR",MI,US,48113,42.274234,-83.730952,1,03858288,1975,1973,11/12/1973,"FEDERAL MOGUL CORP",A000010376974,29,03858288-1,03858288-1,03858288-1
"PAUL D",GREEN,"",SHELBYVILLE,IN,US,46176,39.51857,-85.778917,2,03858288,1975,1973,11/12/1973,"FEDERAL MOGUL CORP",A000010376974,29,03858288-2,03858288-2,03858288-2
"JAMES T",WESTERVELT,"",ROCHESTER,MI,US,48309,42.65796,-83.18652,1,03858289,1975,1973,11/12/1973,"CROSS COMPANY",H000000010727,29,03858289-1,03858289-1,03858289-1
"PHILIP E",SWIS,"","MOUNT CLEMENS",MI,US,48046,42.59213,-82.883759,2,03858289,1975,1973,11/12/1973,"CROSS COMPANY",H000000010727,29,03858289-2,03858289-2,03858289-2
"GLENN M",BROWN,"","ROYAL OAK",MI,US,48073,42.518881,-83.163476,3,03858289,1975,1973,11/12/1973,"CROSS COMPANY",H000000010727,29,03858289-3,03858289-3,03858289-3
"PETER E",ALBANI,"",HAMDEN,CT,US,6518,41.415836,-72.912377,1,03858290,1975,1972,11/21/1972,"AVCO CORPORATION",H000000001094,29/416,03858290-1,03858290-1,03858290-1
"ROBERT C",PERPALL,"","PALOS VERDES PENINSULA",CA,US,90275,33.766667,-118.366667,1,03858291,1975,1973,05/18/1973,"GARRETT CORPORATION",A000010498104,29/60/165,03858291-1,03858291-1,03858291-1
RAGNAR,GUDMESTAD,"","WEST ALLIS",WI,US,53227,42.994705,-88.042267,1,03858292,1975,1974,01/21/1974,"ARTOS ENGINEERING COMPANY",H000000005952,29,03858292-1,03858292-1,03858292-1
"DAVID FREDERICK",WESTON,"",RUNCORN,"",GB,"",53.333333,-2.75,1,03858293,1975,1973,08/27/1973,"IMPERIAL CHEMICAL INDUSTRIES PLC",A000010517934,29,03858293-1,03858293-1,03858293-1
"JURY ALEXANDRO",BURKIN,"",NOVOSIBIRSK,"",RU,"",55.041111,82.934444,1,03858294,1975,1973,08/15/1973,"",,29/365,03858294-1,03858294-1,03858294-1
"JURY EMELYANOV",SELEZNEV,"",NOVOSIBIRSK,"",RU,"",55.041111,82.934444,2,03858294,1975,1973,08/15/1973,"",,29/365,03858294-2,03858294-2,03858294-2
"EDWARD L",ALLEN,"",ATHENS,PA,US,18810,41.961913,-76.521874,1,03858295,1975,1973,10/09/1973,"INGERSOLL RAND COMPANY",A000010076548,29,03858295-1,03858295-1,03858295-1
"JOHN C",GAGE,"","MOUNT STERLING",KY,US,40353,38.057445,-83.934406,1,03858296,1975,1974,01/24/1974,"A O SMITH CORPORATION",H000000001454,29,03858296-1,03858296-1,03858296-1
"HAROLD W",SCHOLIN,"","PARK RIDGE",IL,US,60068,41.971118,-87.829399,1,03858297,1975,1973,06/11/1973,"",,29,03858297-1,03858297-1,03858297-1
"HIERONIM L",LISIECKI,"",CHICAGO,IL,US,60827,41.64704,-87.62067,2,03858297,1975,1973,06/11/1973,"",,29,03858297-2,03858297-2,03858297-2
"GEORGE W",BUTKUS,"","TINLEY PARK",IL,US,60487,41.567359,-87.79198,3,03858297,1975,1973,06/11/1973,"",,29,03858297-3,03858297-3,03858297-3
ROBERT,EITZINGER,"",DEERFIELD,IL,US,60015,42.172896,-87.878422,4,03858297,1975,1973,06/11/1973,"",,29,03858297-4,03858297-4,03858297-4
"JON K",WHITLEDGE,"",MANTUA,OH,US,44255,41.30088,-81.22986,1,03858298,1975,1972,12/11/1972,"SAMUEL MOORE AND COMPANY",H000000011650,29,03858298-1,03858298-1,03858298-1
"EDWARD M",KAVICK,"",CHARDON,OH,US,44024,41.569436,-81.203372,2,03858298,1975,1972,12/11/1972,"SAMUEL MOORE AND COMPANY",H000000011650,29,03858298-2,03858298-2,03858298-2
"HAROLD T",WOODS,"",LIVONIA,MI,US,48154,42.397134,-83.377371,1,03858299,1975,1973,08/27/1973,"MULTIFASTENER CORPORATION",H000000003558,29,03858299-1,03858299-1,03858299-1
"HENRY B",BOREL,"",HOUSTON,TX,US,77299,29.770633,-95.414819,1,03858300,1975,1972,09/29/1972,"",,29,03858300-1,03858300-1,03858300-1
"ABELARDO A",TESONE,"",WOODSIDE,NY,US,11377,40.743107,-73.906134,1,03858301,1975,1974,04/10/1974,"",,29/D8,03858301-1,03858301-1,03858301-1
"EUGENE V",ABAROTIN,"",FRANKLIN,PA,US,16323,41.38494,-79.81314,1,03858302,1975,1973,10/03/1973,"USX CORPORATION",A000010364061,29,03858302-1,03858302-1,03858302-1
"ERIC ANTHONY",HORBURY,"",QUORNDON,"",GB,"",52.733333,-1.166667,1,03858303,1975,1973,04/13/1973,"ROLLS ROYCE PLC",A000010687803,228/148,03858303-1,03858303-1,03858303-1
"DAVID RONALD",EVETTS,"",NOTTINGHAM,"",GB,"",52.966667,-1.15,2,03858303,1975,1973,04/13/1973,"ROLLS ROYCE PLC",A000010687803,228/148,03858303-2,03858303-2,03858303-2
"HAYDEN M",LEEDY,"","THOUSAND OAKS",CA,US,91362,34.19292,-118.82262,1,03858304,1975,1974,01/30/1974,"HUGHES AIRCRAFT COMPANY",A000010422661,438/148/257,03858304-1,03858304-1,03858304-1
"LOREN G","MCCRAY JR","","THOUSAND OAKS",CA,US,91362,34.19292,-118.82262,2,03858304,1975,1974,01/30/1974,"HUGHES AIRCRAFT COMPANY",A000010422661,438/148/257,03858304-2,03858304-2,03858304-2
"HARRY L",STOVER,"","NEWBURY PARK",CA,US,91320,34.18536,-118.92648,3,03858304,1975,1974,01/30/1974,"HUGHES AIRCRAFT COMPANY",A000010422661,438/148/257,03858304-3,03858304-3,03858304-3
GERRIT,SCHENKEL,"",EINDHOVEN,"",NL,"",51.45,5.466667,1,03858305,1975,1972,04/27/1972,"U S PHILIPS CORPORATION",A000010901802,29/381,03858305-1,03858305-1,03858305-1
"ARVID E",KLOEK,"",MINNEAPOLIS,MN,US,55488,44.981963,-93.26551,1,03858306,1975,1971,08/05/1971,"HONEYWELL INC",A000010399484,438/257,03858306-1,03858306-1,03858306-1
"MYRSYL WALTER",SCOTT,"",MINNETONKA,MN,US,55345,44.921543,-93.482675,2,03858306,1975,1971,08/05/1971,"HONEYWELL INC",A000010399484,438/257,03858306-2,03858306-2,03858306-2
HISASHI,YOSHIMURA,"",MINOO,"",JP,"",34.833333,135.466667,1,03858307,1975,1973,03/05/1973,"MATSUSHITA ELECTRIC INDUSTRIAL CO LTD",A000010045727,29/307/361,03858307-1,03858307-1,03858307-1
NOBUHISA,ATOJI,"",SHIJONAWATE,"",JP,"",34.733333,135.683333,2,03858307,1975,1973,03/05/1973,"MATSUSHITA ELECTRIC INDUSTRIAL CO LTD",A000010045727,29/307/361,03858307-2,03858307-2,03858307-2
"A DUANE",PETERSON,"",BAINBRIDGE,NY,US,13733,42.30444,-75.48018,1,03858308,1975,1973,06/22/1973,"BENDIX CORPORATION",H000000000277,29/148,03858308-1,03858308-1,03858308-1
KAZUO,ISHIKAWA,"",YOKOHAMA,"",JP,"",35.742222,136.1,1,03858309,1975,1973,06/04/1973,"JECO CO LTD",A000010037910,29/310,03858309-1,03858309-1,03858309-1
"JURY EMELYANOV",SELEZNEV,"",NOVOSIBIRSK,"",RU,"",55.041111,82.934444,1,03858310,1975,1972,12/27/1972,"",,29,03858310-1,03858294-2,03858294-2
"JURY ALEXANDRO",BURKIN,"",NOVOSIBIRSK,"",RU,"",55.041111,82.934444,2,03858310,1975,1972,12/27/1972,"",,29,03858310-2,03858294-1,03858294-1
"SERGEI VLADIMIRO",KUZMIN,"",NOVOSIBIRSK,"",RU,"",55.041111,82.934444,3,03858310,1975,1972,12/27/1972,"",,29,03858310-3,03858310-3,03858310-3
WILLI,KLAPPERT,"",HICKORY,NC,US,28603,35.757664,-81.327333,1,03858311,1975,1973,12/03/1973,"GENERAL ELECTRIC COMPANY",H000000000005,29/24,03858311-1,03858311-1,03858311-1
"HASHEM M",GHARAIBEH,"",PALATINE,IL,US,60095,42.098083,-88.010648,1,03858312,1975,1972,04/06/1972,"THOMAS INTERNATIONAL CORPORATION",H000000003897,29/156/242,03858312-1,03858312-1,03858312-1
TOKIO,YAMAGUCHI,"",AICHI-KEN,"",JP,"",35.0,137.25,1,03858313,1975,1973,02/09/1973,"SEIWA DENKI COMPANY LTD",H000000286887,30/D8,03858313-1,03858313-1,03858313-1
"J EDWARD",BRENNEMAN,"",LANCASTER,PA,US,17699,40.041872,-76.30012,1,03858314,1975,1973,06/20/1973,"SCHICK INCORPORATED",H000000016327,30,03858314-1,03858314-1,03858314-1
"ROBERT S",WATERS,"",LANCASTER,PA,US,17699,40.041872,-76.30012,2,03858314,1975,1973,06/20/1973,"SCHICK INCORPORATED",H000000016327,30,03858314-2,03858314-2,03858314-2
"FRANK A",FERRARO,"",TRUMBULL,CT,US,6611,41.255623,-73.208807,1,03858315,1975,1973,09/17/1973,"WARNER LAMBERT COMPANY",A000010176720,30,03858315-1,03858315-1,03858315-1
"EDUARD WILLEM",TIETJENS,"",DRACHTEN,"",NL,"",53.1,6.1,1,03858316,1975,1973,08/03/1973,"",,30,03858316-1,04151645-1,04151645-1
"CLANCY B",FORD,"",SACRAMENTO,CA,US,95899,38.580708,-121.526563,1,03858317,1975,1973,12/13/1973,"",,30,03858317-1,03858317-1,03858317-1
"CHARLES E",FORD,"","VAN NUYS",CA,US,91499,34.201899,-118.454395,2,03858317,1975,1973,12/13/1973,"",,30,03858317-2,03858317-2,03858317-2
KIYOSHI,MUTO,"",TOKYO,"",JP,"",35.685,139.751389,1,03858318,1975,1973,08/28/1973,"KAJIMA KENSETSU KABUSHIKI KAISHA",H000000020272,29/52,03858318-1,03858318-1,03858318-1
MITSUMASA,HARADA,"",TOKYO,"",JP,"",35.685,139.751389,10,03858318,1975,1973,08/28/1973,"KAJIMA KENSETSU KABUSHIKI KAISHA",H000000020272,29/52,03858318-10,03858318-10,03858318-10
YASUHISA,YAMAMOTO,"",KYOTO,"",JP,"",35.166667,135.5,2,03858318,1975,1973,08/28/1973,"KAJIMA KENSETSU KABUSHIKI KAISHA",H000000020272,29/52,03858318-2,03858318-2,03858318-2
YOSHINORI,TOYODA,"",CHIBA,"",JP,"",35.5,140.333333,3,03858318,1975,1973,08/28/1973,"KAJIMA KENSETSU KABUSHIKI KAISHA",H000000020272,29/52,03858318-3,03858318-3,03858318-3
SHOZO,AZEMI,"",CHIBA,"",JP,"",35.5,140.333333,4,03858318,1975,1973,08/28/1973,"KAJIMA KENSETSU KABUSHIKI KAISHA",H000000020272,29/52,03858318-4,03858318-4,03858318-4
SHIGERU,OKANO,"",ICHIHARA,"",JP,"",35.516667,140.083333,5,03858318,1975,1973,08/28/1973,"KAJIMA KENSETSU KABUSHIKI KAISHA",H000000020272,29/52,03858318-5,03858318-5,03858318-5
KENYA,MASUYAMA,"",CHIBA,"",JP,"",35.5,140.333333,6,03858318,1975,1973,08/28/1973,"KAJIMA KENSETSU KABUSHIKI KAISHA",H000000020272,29/52,03858318-6,03858318-6,03858318-6
