Patent,Abstract,Title
05704078,"A portable sink is particularly adapted for use in a portable toilet and includes a cabinet in which a conventional five gallon bottle of water can be retained. The sink is designed to drain into the portable toilet, and a supply of deodorizing soap operates to both clean a user's hands and deodorize the entire portable toilet assembly. Suction cups are provided on rear and bottom surfaces of the sink to facilitate its attachment to the plastic housing of the portable toilet, and adjustable brackets mounted on magnetic supports allow the brackets to be positioned to fit virtually any manufactured shape of water bottle.","Portable sink"
05704156,"A device for retrieving a fish hooked to a fishing line comprising: a gripping mechanism for gripping the fish, a guide mechanism connected to the gripping mechanism for guiding the device along the line, and a retrieval mechanism operatively connected to the gripping mechanism for retrieving the device and the fish.","Fish Retrieval device"
05704458,"A freewheel cage (1) arranged between two concentric metal machine components (2,3) and comprising at least one reinforcing ring (14) and a plurality of segments (4) made of an injectable or castable material and arranged on a periphery of the reinforcing ring (14), said segments (4) comprising pockets (7) for locking elements (8) defined between axial crossbars (5) and end sections (6) integral thereto, the locking elements (8) being spring-mounted between facing locking surfaces (9, 10) of the machine components (2,3) while expansion gaps (18) are formed between consecutive segments (4), and at least one sliding surface (20) associated to the freewheel cage (1) is arranged on a periphery thereof for sliding contact with a cylindrical surface (10) of one of the machine components (3), the reinforcing ring (14) is inserted into grooves (15) of the segments (4), and the segments (4) and the reinforcing ring (14) respectively comprise recesses (16) and projections (17) which engage positively with one another, characterized in that the coefficient of thermal expansion of the reinforcing ring (14) is substantially equal to that of the machine components (2,3), and the sliding surface (20) is formed on the reinforcing ring (14).","Freewheel cage with reinforcing ring"
05704432,"A coupling and centering device is attached to a journal (38) of a carrying frame (37) of an agricultural implement. The coupling and centering device has a catching ball (7) and a catching profile (14). The catching profile (14) has a sleeve (15) and a catching plate (25) which are connected to one another. The sleeve (15), in the fitted condition, enters a bore step (12) of the catching ball. The catching plate (25) is arranged relative to the sleeve (15) such that the transverse bore (19), for receiving the lynch pin, is arranged in the region of the wall of the catching plate (25). Thus, in view of a predetermined length of the journal (38) and the provision of the fixing bore (39), the greatest possible guiding length of the sleeve (15) is achieved on the journal (38). In this way, the strength of the connection is affected positively.","Coupling and centering device for attachment to a journal used in"
05704095,"A hinge for supporting a heavy door on a support. The hinge has a main block mounted on the support and a pair of parallel plates mounted on the door. An extender link and a rotation control link are each pivotally mounted to the main block and between the parallel plates. When the door is in the fully closed position, the main block supports the upper parallel plate. When the door is in the fully opened position, the extender link is interlocked with the rotation control link and supports the door. A compressible seal is formed between the door and the support by a sealant disposed about the perimeter of the door. The compressible seal is not exposed to shear forces.","Hinge and support"
05704205,"In a method of setting a main controlled variable during the operation of a gas-turbine group, the gas-turbine group essentially comprises a compressor (40), at least one combustion chamber (43), at least one turbine (41) and a generator (46). A desired value (3) is compared with a measured value (4) and the resulting main control difference (5) is hierarchically allocated via a management unit (1) to at least one cascade (9, 18). The cascade (9, 18) is essentially composed of a main-controlled-variable controller (6, 15) and a downstream variable controller (8, 17) which acts on the respective variable actuator (14, 23).","Method of setting a main controlled variable during the operation of a"
05704224,"An improved cooling air circulating structure for a refrigerator which is capable of enabling a smooth flowing of a cooled air by providing a vertically arranged duct unit in a refrigerating compartment thereof and integrally forming a cooled air returning path with the duct unit, which includes a shroud disposed between the evaporator chamber and the grill panel for distributing cooling air generated in the evaporating chamber into the freezing compartment and the refrigerating compartment, respectively, and a duct unit disposed in the refrigerating compartment, comprising an upper freshening section duct portion disposed at an upper rear portion of the refrigerating compartment for providing cooling air into a freshening section of the refrigerating compartment and for returning an air circulated in the upper freshening section portion to the evaporator chamber through an air flow path, and a lower refrigerating section duct portion of which an upper end is integrally connected with a bottom portion of the upper freshening section duct portion for providing cooling air to a refrigerating section of the refrigerating compartment and for returning air circulated in the refrigerating section to the evaporator chamber through the air flow path.","Cooling air circulating structure for refrigerator"
05704336,"A fuel system for an internal combustion engine (10) includes a controller (14) which controls the operation of an engine fuel pump (13). Signals are supplied to the controller by a transducer (16) which is responsive to the passage of teeth formed on the periphery of a wheel (12) which is mounted on the engine crankshaft. In order to generate an engine speed signal it is necessary to know the tooth spacing errors and these are determined by recording two time pulse sequences of signals from the transducer at different engine speeds and loads and then processing those signals to firstly determine the periodic component of the signals due to the fluctuation of engine speed which occurs due to the individual power strokes of the engine.","Fuel system"
05704538,"A method for joining rhenium to columbium and columbium based alloys that minimizes the formation of brittle intermetallics. First, a layer of ruthenium is applied to both the rhenium and columbium and then heated until the ruthenium diffuses with the rhenium and columbium respectively. A braze foil is place between the two outer ruthenium layers and the assembly is heated in a range of 50.degree. C. to 100.degree. C. above the liquidus of the braze, thereby joining the rhenium to the columbium. Alternatively, the ruthenium coated surfaces are placed in contact and diffused together under a compressive load of at least 1000 psi.","Method for joining rhenium to columbium"
05704258,"A bottle opening device includes a flat base member which is adapted to be secured to a counter top or the like by suction cups on an under surface of the base member. A support member is secured to an upper surface of the base member and is provided with a horizontally disposed slot extending therethrough. An elongated strap is secured at one end to the support member adjacent the slot. The strap is adapted to extend about the periphery of the bottle and pass through the slot. Upon rotation of the lid and bottle in an opening direction, the bottle will clamp the strap between the bottle and the support member to immobilize the bottle so that upon continued application of turning force to the lid, the lid will be unscrewed from the bottle.","Bottle opening device"
05704066,"A protective device (10) comprising a glove (12) constructed of an electrically conductive material (14) to be worn on a hand (16) of a person (18). A structure (20) is for grounding the glove (12). Spark plug wires (22) in an engine (24) of a motor vehicle (26) can be handled by the person (18) without danger of electrical shock. This will also minimize damage to an ignition module and/or distributor components (28) by grounding high voltage from a coil (30) in the engine (24) of the motor vehicle (26).","Protective glove device"
05704431,"The invention provides a packer wheel to be towed behind agricultural equipment such as an air seeder, the wheel being used to pack the soil in which seed or fertilizer has been placed. The packer wheel includes a hub and a body extending from the hub to a peripheral wall. A plurality of circumferentially spaced slots extend from the peripheral wall inwardly of the wheel body. Adjacent slots define therebetween a fin which, due to the slots, is somewhat flexible. As the packer wheel rotates the fins will flex sightly, but enough to cause any mud, soil or debris that built up thereon to break away so that the packer wheel remains relatively clean, even in muddy conditions. The slots are shaped so that any mud or debris that builds up therein is automatically forced axially outwardly of the slots as the wheel rotates.","Active face packer wheel"
05704457,"A driving force from a motor is transmitted through a pinion, a first gear, a second gear, a third gear, a link, a control lever, a control shaft, a parking shaft and a parking lever to a parking pole. A lost motion spring is mounted between the control shaft and the parking lever for biasing the parking pole toward a parking gear. A one-way clutch is mounted between the third gear and a housing. The one-way clutch permits the driving force from the motor to be transmitted to the parking pole and prevents the resilient force of the lost motion spring from being transmitted back to the motor.","Parking system for a vehicle"
05704492,"A wicking mat for use with a drain tray and a dish rack. The wicking mat includes a plurality of strips which are adapted to wick liquid from the dish drain tray towards a sink. The wicking mat preferably is made of a cotton material.","Wicking device for a drain rack and dish drain tray"
05704130,"An optical measuring system to indicate or determine the relative position of an object and/or a substrate in relation to a horizontal plane comprises an at least partially transparent measuring chamber containing two non-miscible media with different densities, one of the media being at least partially transparent or translucent and at least the other being a fluid medium. The relative position is found on the basis of the position of the at least partially transparent or translucent medium in the measuring chamber, when what is concerned is an optical instrument operating on the principle of a spirit level. On one side of the measuring chamber is a light source and on the opposite side there is an optical measuring cell or a flat, light-sensitive sensor. The light transmitted from the light source through the at least partially transparent or translucent medium is projected on the optical measuring cell or the flat, light-sensitive sensor and the projection is used to determine the relative position of the object in relation to the horizontal.","Measuring instrument"
05704063,"An altenative face protector made of a covering body for covering at least a portion of a user's face below the eye area thereof, and attachments for attaching the covering body to a user. The face protector covers at least a portion of a user's face and it comprises a breathing vent skirt element. The breathing vent skirt element has a skirt edge, and is configured such that when the face protector is worn by the user, the breathing vent skirt element, from the tip of the nose of the user, projects outwardly and extends downwardly in such a manner that the breathing vent skirt element defines an outer wall of a nostril air pocket extending below the nostril area of the user's nose. The nostril air pocket has a lower nostril opening which is in air communication, at an upper end thereof, with the nostril area of the user's nose and, at the lower nostril opening, with the atmosphere. The skirt edge defines a portion of the lower nostril opening and is disposed so as to be at a level at least as low as the upper edge of the upper lip of the user. The nostril air pocket is configured and disposed such that when air is exhaled by the user, the exhaled air is directed downwardly from the user's nostril area into the atmosphere, through the lower nostril opening.","Face covering"
05704086,"Passenger boarding bridge extendable sections are provided with roller assemblies supporting one extendable bridge section relative to a second extendable bridge section wherein the roller assemblies assist in reducing the downward load in the overlapping area of the bridge sections.","Passenger boarding bridge"
05704127,"A concave, convex safety razor with an extensible handle includes a safety razor blade housing having a concave cutting surface on one end and a convex cutting surface on the other end, that includes a removable and rotatable device disposed on the housing. An elongated handle cooperates with the removable and rotatable device disposed on the housing permitting rotation of the safety razor blade housing and removal and replacement thereof. A hollow extensible handle is adapted to be affixed to the safety razor handle and is capable of extending the length thereof.","Concave, convex safety razors"
05704084,"An inflatable mattress is of an elongated plan form and comprises a plurality of inflatable cells also of an elongated form which are disposed contiguously in a row extending along the longitudinal axis of the mattress. Constraints of a tray-like form circle the cells so as to retain them in a position with their upper ends exposed whereby by the upper ends form a resilient support surface. The cells are formed with pleats so that when a body is placed on the resilient upper surface the support surface material is not tensioned substantially. A cell is of a flexible sheet material and comprises an inner sheet disposed between outer sheets. The outer sheets are secured by spot welds to the inner sheets. Inflation air can flow freely between opposite sides of the inner sheets. The spot welds on each side of a cell define a series of sub-cells. The mattress may be ""tuned"" so as to change the yield characteristics of a cell. ""Tuning"" may comprise placing a close-fitting sleeve on a cell so as to embrace it around its longitudinal axis.","Inflatable mattresses"
05704460,"A friction clutch with an actuator for automated operation, having an electronic control system preferably located separately from the actuator. Whereby to reduce the intensity of the control currents for the electric motor of the actuator, there can be a compensating spring which assists the actuation force of the friction clutch, a mechanism which automatically compensates for wear inside the friction clutch, an optimally-efficient, helical spur gear with involute gear teeth, as well as a device to reduce the release force of the friction clutch.","Friction clutch assembly for a motor vehicle with a clutch actuator"
05704497,"A spinning display rack includes a base, a pole supported in a vertical position by the base, a top cap rotatably supported by the pole, a bottom cap rotatably supported by the pole, and a pair of generally U-shaped display grids attached in a back-to-back relationship to the top and bottom caps. The top and bottom caps are formed from sheet metal and have flanged holes for receiving the pole. The caps are supported by pins mounted on the pole. The display grids have vertical grid members whose ends extend through holes formed in the top and bottom caps and are secured to the caps with friction cap nuts. Shelves are mounted within the U-shaped enclosures of the display grids.","Rotating display rack"
05704247,"A compact manual transaxle includes an input shaft having four fixed input gears, a first intermediate shaft rotatably supporting three speed gears meshing with three of the input gears, a second intermediate shaft rotatably supporting a pair of speed gears meshed with two of the input gears and a reverse gear meshed with a speed gear on the first intermediate shaft, and a differential. One speed gear on each of the intermediate shafts meshes with a common input gear. A transfer gear on each intermediate shaft is meshed with a final drive gear fixed to the differential. The transaxle further includes a pair of synchronizer clutches for establishing three forward gears by selectively coupling the three speed gears to the first intermediate shaft and a pair of synchronizer clutches for establishing two forward gears and the reverse gear by selectively coupling the speed gears and reverse gear to the second intermediate shaft.","Compact manual transaxle for motor vehicles"
05704295,"An improved automatic guiding arm having a deformable hinged frame like construction controlled by an actuator. The actuator raises and lowers the end of the frame like construction which supports a pair of guide wheels in a ""V"" shaped arrangement for engaging a guide rail. The axially supported wheels may be mutually pivotable about a transaxial shaft and controlled by an angle control member hinged to the actuator. Through the angle control member the actuator can automatically control the transaxial pivoting and angle of the wheels as well as the tilt of the angle control member during raising and lowering operations of the guide arm. The guide arm is useful for automatically steering public transportation vehicles.","Arm for automatically guiding a road vehicle along a guide rail"
05704293,"A lifting device for manipulating a track element at a manipulating location at least partially above a track transported to a manipulating location on a transport platform of a transport vehicle and includes a lifting device frame provided with power and drive system. Lifting elements are supported by the lifting device frame, for lifting the track element and transfer elements for moving the lifting device frame. At least one pair of support members supports and manipulates the transfer elements. The support members are mounted on a common subframe and at least one brace element is provided for movably mounting the common subframe to the lifting device frame, to allow the subframe to tilt and rotate with respect to the lifting device frame. Each of the support members has telescopic arms, movable between a retracted position in which the transfer elements are retractable upon the transport platform and an extended position in which the transfer elements are extended beyond the transport platform. Each of the support members has elevating members operating in a vertical direction, for moving the transfer elements in a vertical direction to change at least ground clearance of the transfer elements; and directional elements for rotating the transfer elements in a substantially horizontal plane for changing the traveling direction of the lifting device.","Lifting device for manipulating a track element"
05704310,"A collapsible hull boat has a folding transverse transom and a rigid transom board substantially similar in shape to the transom when deployed. The rigid transom board is attached from the outside of the hull to the deployed transom so as to cover its exterior face and is removably fixed to the deployed transom in order to protect it and to withstand the thrust of a motor fixed to the rigid transom board to propel the boat.","Boat with folding transom"
05704124,"In a process for producing a shaft bearing-bearing housing assembly wherein the shaft bearing has an outer race firmly engaged in the bearing housing, a shaft bearing with a slightly conical outer surface is fitted into a slightly conical receiving bore formed in the bearing housing at an elevated temperature which is higher than the normal operating temperature of the bearing housing and the bearing housing is then permitted to cool down thereby providing for firm engagement of the shaft bearing outer race in the bearing housing.","Process for producing an axle bearing/bearing housing assembly"
05704364,"Method and apparatus for voice interaction between the service provider to the patient whose life signs, e.g. an electrocardiograph (ECG), concurrently are being monitored are described. Patient data and voice communication are conveyed on a single, or common, public switched telephone (PSTN) line. A life signs monitor at the patient site is connected to the patient and to a digital simultaneous voice and data (DSVD) device having the ability to digitize and compress the patient's voice and having the ability to decompress and analogize the physician's voice via a standard telephone. A modem modulates and demodulates transmitted and received data over the telephone line. At a remote monitoring site a second modem receives and transmits data over the same telephone line. The second modem is connected with a second DSVD device connected to a display- or printer-equipped receiving station for presentation in textual or graphic form to a remote service provider the patient data, e.g. in the form of an ECG trace. Thus, the service provider has the ability to overview patient life signs monitoring while in direct vocal communication with the patient, for instructing the patient or otherwise reassuring the patient of the proper use of the life signs monitor or diagnosing or prescribing in real-time response to what is gleaned from the monitoring.","Concurrent medical patient data and voice communication method and"
05704540,"A carton has a bottom, side walls and top. A strap handle is attached to both sidewalls and extends over the top. The handle fits into slots that extend from the side wall into the top. The handles are attached to the side wall below these slots. The ends of the slots have enlarged areas that retain the handle as it extends through the slot. The enlarged areas can be any number of different shapes.","Carton or carton cover of rigid sheet material with handle"
05704378,"A cosmetics compact includes a housing for receiving an insert for covering a removable tray contained within the housing. The covering is, preferably, pivotally connected to the housing by way of an articulation. The cover is retained in a closed, preferably, by latches. The latches of the cover are released by a presser element contained, or guided, within the housing which cooperates with the latches of the covering. An insert having a pin is held at its ends by receivers, or depressions, in the housing. The insert is over-reached by a longitudinally-slotted sleeve which is an integral part of the covering. The covering also includes a latching lug which latches into a window of the insert and cooperates with an unlocking surface of a presser element for unlocking, or opening, the cover. The insert holds the tray firmly and also serves to secure the presser element and to lock the cover.","Cosmetics compact"
