patent,asgtype,assignee,city,state,country,nationality,residence,asgseq
03859076,2,"CIBA-GEIGY CORPORATION","","","","","",0
03858638,1,"","","","","","",0
03858685,3,"NECCHI, S.P.A.","","","","","",0
03858542,1,"","","","","","",0
03858301,1,"","","","","","",0
03858991,2,"RELIABLE ELECTRIC COMPANY","","","","","",0
03858805,2,"LEHIGH UNIVERSITY","","","","","",0
03858296,2,"A. O. SMITH CORPORATION","","","","","",0
03859383,3,"HITACHI, LTD","","","","","",0
03859092,2,"EASTMAN KODAK COMPANY","","","","","",0
03858893,2,"S-P MANUFACTURING CORPORATION","","","","","",0
03858355,2,"RUSKIN MANUFACTURING COMPANY","","","","","",0
03859037,3,"BRAUN A.G.","","","","","",0
03859584,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859207,2,"FOOTE MINERAL COMPANY","","","","","",0
03858322,1,"","","","","","",0
03858830,2,"WESCO INDUSTRIES CORPORATION","","","","","",0
03859240,1,"","","","","","",0
03859222,2,"ROCKWELL INTERNATIONAL CORPORATION","","","","","",0
03859657,2,"OMNI SPECTRA, INC.","","","","","",0
03858905,1,"","","","","","",0
03859175,3,"SUMITOMO CHEMICAL COMPANY, LIMITED","","","","","",0
03859261,2,"HERCULES INCORPORATED","","","","","",0
03858365,3,"FERNANDO A. DE TERRY, S. A.","","","","","",0
03859329,3,"IMPERIAL CHEMICAL INDUSTRIES PLC","","","","","",0
03859141,2,"AMERICAN FIRE APPARATUS CO.","","","","","",0
03858722,2,"SINGER COMPANY","","","","","",0
03858745,2,"NOSCO PLASTICS, INC.","","","","","",0
03858599,2,"MARK CONTROLS CORPORATION","","","","","",0
03858570,2,"PURITAN-BENNETT CORPORATION","","","","","",0
03858416,1,"","","","","","",0
03858519,3,"E. TH. NOACK VERPACKUNGSMASCHINEN","","","","","",0
03858463,4,"","","","","","",0
03858420,2,"LOCK INC.","","","","","",0
03858430,1,"","","","","","",0
03859181,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859432,1,"","","","","","",0
03858527,3,"LIENHARD AG","","","","","",0
03858247,1,"","","","","","",0
03858998,1,"","","","","","",0
03859023,3,"UNIROYAL, A.G.","","","","","",0
03859479,2,"AT&T CORP.","","","","","",0
03858790,1,"","","","","","",0
03859614,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03858698,2,"GENERAL MOTORS CORPORATION","","","","","",0
03858339,1,"","","","","","",0
03858766,1,"","","","","","",0
03858915,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859016,2,"AMSTED INDUSTRIES, INCORPORATED","","","","","",0
03858684,1,"","","","","","",0
03858487,3,"HITACHI, LTD","","","","","",0
03858778,3,"CENTRE NATIONALE D'ETUDES SPATIALES (C.N.E.S.)","","","","","",0
03858354,3,"SOCIETE D   INTERET COLLECTIF AGRICOLE DES SYLVICULTEURS DU","","","","","",0
03859341,3,"AB KABI","","","","","",0
03859491,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858755,2,"AMETEK, INC.","","","","","",0
03858742,1,"","","","","","",0
03859172,2,"SALEM CORPORATION","","","","","",0
03858791,2,"UNITED STATES ENVELOPE COMPANY","","","","","",0
03859405,2,"PRECISION METALSMITHS, INC.","","","","","",0
03859509,2,"DATA SOURCE CORPORATION","","","","","",0
03858974,1,"","","","","","",0
03858909,1,"","","","","","",0
