patent,claim
D0501343,"The ornamental design for a football helmet beer dispenser, as shown and described."
D0501344,"The ornamental design for a baseball helmet beer dispenser, as shown and described."
D0501345,"The ornamental design for a dispenser, as shown and described."
D0501346,"The ornamental design for an accessory post, as shown and described."
D0501347,"The ornamental design for a holder for a cleaning implement, as shown and described."
D0501348,"The ornamental design for a slat for venetian blind, as shown and described."
D0501349,"The ornamental design for a support pillow, as shown and described."
D0501350,"The ornamental design for a baby blanket, as shown and described."
D0501351,"We claim the ornamental design for the golf towel, as shown."
D0501352,"The ornamental design for a coffee maker, as shown and described."
D0501353,"The ornamental design for an electric coffee machine, as shown and described."
D0501354,"The ornamental design for a slanted pitcher, as shown and described."
D0501355,"The ornamental design for a tea kettle, as shown and described."
D0501356,"The ornamental design for a toaster oven, as shown."
D0501357,"The ornamental design for “handle for article of cookware,” as shown and described."
D0501358,"The ornamental design for the handle, as shown and described."
D0501359,"The ornamental design for a dispensing top for liquids, such as olive oil as shown and described."
D0501360,"The ornamental design for a lighter and stand, as shown and described."
D0501361,"The ornamental design for a child's cup and lid with spout, as shown and described."
D0501362,"I claim the ornamental design for a water bottle, as shown and described."
D0501363,"The ornamental design for a serving dish with cover, as shown and described."
D0501364,"The ornamental design for a bowl having a display tab, as shown."
D0501365,"The ornamental design for a rimmed platter, as shown and described."
D0501366,"The ornamental design for a food container, as shown and described."
D0501367,"I claim the ornamental design for container for storing and dispensing films, as shown and described."
D0501368,"The ornamental design for a refreezable container, as shown and described."
D0501369,"The ornamental design for a chewing gum holder, as shown and described."
D0501370,"The ornamental design for a juicer, as shown and described."
D0501371,"The ornamental design for a fruit slicer, as shown and described."
D0501372,"The ornamental design for a grinder, as shown and described."
D0501373,"The ornamental design for scoop, as shown and described."
D0501374,"I claim the ornamental design for an ice cream scoop, as shown."
D0501375,"The ornamental design for a shellfish dressing device, as shown and described."
D0501376,"The ornamental design for a shellfish cracker, as shown and described."
D0501377,"The ornamental design for dispenser funnel, as shown and described."
D0501378,"The ornamental design for garden scissors, as shown and described."
D0501379,"We claim the ornamental design for a pruner, as shown and described."
D0501380,"The ornamental design for a hoe, as shown and described."
D0501381,"The ornamental design for a hand grip bottle opener, as shown."
D0501382,"The ornamental design for a bottle opener, as shown and described."
D0501383,"The ornamental design for a nailer, as shown and described."
D0501384,"The ornamental design for a drill/driver, as shown and described."
D0501385,"The ornamental design for a drill, as shown and described."
D0501386,"The ornamental design for a ergonomic cutter, as shown and described."
D0501387,"The ornamental design for a combination staple remover, letter opener and cord cutter, as shown and described."
D0501388,"The ornamental design for an electronic door lock, as shown and described."
D0501389,"The ornamental design for a door handleset, as shown and described."
D0501390,"The ornamental design for a knob, as shown and described."
D0501391,"The ornamental design for a compressed gas tank carrier, as shown and described."
D0501392,"The ornamental design for a door handle, as shown and described."
D0501393,"The ornamental design for a double D-shaped handle tray, as shown and described."
D0501394,"We claim the ornamental design for a drop wire clamp, as shown and described."
D0501395,"The ornamental design for a guitar shaped carabiner, as shown and described."
D0501396,"The ornamental design for a captive screw, as shown."
D0501397,"The ornamental design for a package for liquids, as shown and described."
D0501398,"The ornamental design for a pouch, as shown and described."
D0501399,"The ornamental design for a pouch, as shown and described."
D0501400,"The ornamental design for a bottle, as shown and described."
D0501401,"The ornamental design for a dispensing container, as shown."
D0501402,"The ornamental design for a display package, as shown and described."
D0501403,"The ornamental design for a product holding container, as shown and described."
D0501404,"The ornamental design for a bottle, as shown and described."
D0501405,"The ornamental design for a bottle, substantially as shown and described."
D0501406,"The ornamental design for a container, as shown and described."
D0501407,"The ornamental design for a container, substantially as shown and described."
D0501408,"The ornamental design for a container, as shown and described."
D0501409,"The ornamental design for the rectangular tube, as shown and described in the accompanying figures."
D0501410,"The ornamental design for a self-venting microwaveable reclosable standup pouch, as shown and described."
D0501411,"The ornamental design for a watch-case, as shown and described."
D0501412,"The ornamental design for a finger watch, as shown and described."
D0501413,"The ornamental design for a weather monitor, as shown and described."
D0501414,"The ornamental design for the “measurement instrument,” as shown."
D0501415,"The ornamental design for a volt probe, as shown and described."
D0501416,"The ornamental design for a digital multimeter, as shown and described."
D0501417,"The ornamental design for a tire pressure gauge, as shown and described."
D0501418,"The ornamental design for a tire pressure gauge, as shown."
D0501419,"The ornamental design for a child proximity monitor, as shown and described."
D0501420,"The ornamental design of a wild turkey caller, substantially as shown and described."
D0501421,"The ornamental design for a cut diamond, as shown and described."
D0501422,"The ornamental design for a gem pavilion, as shown and described."
D0501423,"The ornamental design for a precious stone, as shown."
D0501424,"The ornamental design for a jewelry component, as shown and described."
D0501425,"The ornamental design for a pendant, as shown and described."
D0501426,"The ornamental design for a golf club head belt buckle, as shown and described."
D0501427,"The ornamental design for a golf club head belt buckle, as shown and described."
D0501428,"The ornamental design for an automobile, as shown and described."
D0501429,"The ornamental design for, automobile, as shown and described."
D0501430,"The ornamental design for a trailer body, as shown and described."
D0501431,"The ornamental design for a motorcycle, as shown and described."
D0501432,"The ornamental design for a walker for disabled children, as shown and described."
D0501433,"The ornamental design for a surgical table patient transport board, as shown and described."
D0501434,"The ornamental design for a lighted vehicle hitch ball, as shown and described."
D0501435,"The ornamental design for a front grille for an automobile, as shown and described."
D0501436,"The ornamental design for, front bumper for an automobile, as shown and described."
D0501437,"The ornamental design for a brake disc for motorcycles, as shown and described."
D0501438,"The ornamental design for a wheel cover, as shown and described."
D0501439,"The ornamental design for a wheel cover, as shown and described."
D0501440,"The ornamental design for a front face of a vehicle wheel, as shown and described."
D0501441,"The ornamental design for a front face of a vehicle wheel, as shown and described."
D0501442,"The ornamental design for a spot welded stainless steel aircraft firewall conduit, substantially as shown and described."
D0501443,"We claim the ornamental design for a bed extender for a pickup truck, as shown and described."
D0501444,"I claim the ornamental design for the floor located vehicle container, as shown and described."
D0501445,"The ornamental Design for a tire tread, as shown and described."
D0501446,"The ornamental design for a tire tread, as shown and described."
D0501447,"The ornamental design for a plug assembly, as shown and described."
D0501448,"The ornamental design for an electrical connector, as shown and described."
D0501449,"The ornamental design for a ceiling fan wall controller, as shown and described."
D0501450,"The ornamental design for a electronic component cooling apparatus, as shown and described."
D0501451,"The ornamental design for a monitor/television receiver, as shown and described."
D0501452,"The ornamental design of a DVD player with display, as shown in the accompanying drawings."
D0501453,"The ornamental design of a DVD player with display, as shown in the accompanying drawings."
D0501454,"The ornamental design for a body shape portion of a handset, as shown and described."
D0501455,"The ornamental design for a portable clamshell communications device with camera, as shown and described."
D0501456,"The ornamental design for a mobile phone, as shown and described."
D0501457,"The ornamental design for a cellular phone, as shown and described."
D0501458,"We claim the ornamental design for a portable telephone, as shown and described."
D0501459,"The ornamental design for a hand-held device, as shown and described."
D0501460,"The ornamental design for a combined radio receiver and clock, as shown and described."
D0501461,"The ornamental design for a loudspeaker, as shown and described."
D0501462,"The ornamental design for a device for mixing sounds of musical instruments, as shown."
D0501463,"The ornamental design for a remote controller, as shown and described."
D0501464,"The ornamental design for a combined headphone and radio receiver, as shown and described."
D0501465,"The ornamental design for an antenna with octagon-shaped center, as shown and described."
D0501466,"The ornamental design for an antenna with square-shaped center, as shown and described."
D0501467,"The ornamental design for an antenna, as shown and described."
D0501468,"The ornamental design for an antenna, as shown and described."
D0501469,"The ornamental design of a key button arrangement for a handset, as shown and described."
D0501470,"The ornamental design for a portion of a handset, as shown and described."
D0501471,"The ornamental design for a combined digital audio disc player and radio tuner for a vehicle, as shown and described."
D0501472,"The ornamental design for a computer, as shown and described."
D0501473,"I claim, the ornamental design of a coordinate input device, as shown and described."
D0501474,"The ornamental design for a hand-held pen based computer, as shown."
D0501475,"The ornamental design for a personal digital assistant, as shown and described."
D0501476,"The ornamental design for a computing device, as shown and described."
D0501477,"The ornamental design for a keyboard control device, as shown and described."
D0501478,"The ornamental design for a keyboard, as shown and described."
D0501479,"The ornamental design for compact disk, as shown."
D0501480,"The ornamental design for compact disk, as shown."
D0501481,"The ornamental design for a computer front bezel, as shown and described."
D0501482,"The ornamental design for a disk cartridge, as shown."
D0501483,"The ornamental design for a portion of a display screen, as shown and described."
D0501484,"The ornamental design for an icon for a portion of a computer screen, as shown and described."
D0501485,"The ornamental design for a media player, substantially as shown and described."
D0501486,"We claim the ornamental design for liquid pump, as shown and described."
D0501487,"The ornamental design for an agricultural tractor, as shown and described."
D0501488,"The ornamental design for refrigerator, as shown."
D0501489,"The ornamental design for kimchi refrigerator, as shown and described."
D0501490,"The ornamental design for a thermal energy storage module, as shown and described."
D0501491,"The ornamental design for a portable concrete saw frame, as shown and described."
D0501492,"The ornamental design for a mold, as shown and described."
D0501493,"The ornamental design for a surface reader, as shown and described."
D0501494,"The ornamental design for an electronic camera, as shown and described."
D0501495,"The ornamental design for a simulated surveillance camera, as shown and described."
D0501496,"The ornamental design for a camera, as shown."
D0501497,"The ornamental design for a digital camera, as shown and described."
D0501498,"The ornamental design for an automatic contact lens applicator, as shown and described."
D0501499,"The ornamental design for an electronic calculator, as shown."
D0501500,"The ornamental design of a paper trimmer, as shown and described."
D0501501,"The ornamental design of a paper trimmer, as shown and described."
D0501502,"The ornamental design for a three-dimensional printer, as shown and described."
D0501503,"The ornamental design for a multi-function printer, as shown and described."
D0501504,"The ornamental design for an ink cartridge, as shown and described."
D0501505,"The Ornamental Design for a Stylus, as substantially shown and described."
D0501506,"The ornamental design for a “writing instrument, ” as shown and described."
D0501507,"The ornamental design for a pen, as shown and described."
D0501508,"The ornamental design for a pen, as shown and described."
D0501509,"The ornamental design for a pen, as shown and described."
D0501510,"The ornamental design for a “writing instrument,” as shown and described."
D0501511,"The ornamental design for a “clip for a writing instrument,” as shown and described."
D0501512,"The ornamental design for a cap for material dispenser, as shown and described."
D0501513,"The ornamental design for a copy holder, as shown."
D0501514,"I claim the ornamental design for a hanger collar, as shown."
D0501515,"The ornamental design for an identification tag, primarily for attachment to the bubble packs of household goods, as shown and described."
D0501516,"The ornamental design for a neon sign, as shown and described."
D0501517,"I claim the ornamental design for the “flying disc for disc golf,” as shown and described."
D0501518,"The ornamental design for a “stuffed animal”, as shown and described."
D0501519,"The ornamental design for a “stuffed animal,” as shown and described."
D0501520,"The ornamental design for a ribbed ball, as shown and described."
D0501521,"The ornamental design for a hand racket, as shown and described."
D0501522,"The ornamental design for a golf club head, as shown and described."
D0501523,"The ornamental design of a golf club sole, as shown in the accompanying drawings."
D0501524,"The ornamental design of a golf club head, as shown in the accompanying drawings."
D0501525,"I claim the ornamental design for a ski binding, as shown and described."
D0501526,"The ornamental design for a removable keel for a waterfowl decoy, as shown and described."
D0501527,"The ornamental design for a fishing lure, as shown and described."
D0501528,"The ornamental design for a fishing reel clutch lever, as shown and described."
D0501529,"The ornamental design for an end portion of fishing reel, as shown and described."
D0501530,"The ornamental design for “line guiding wheel for fishing rods,” as shown and described."
D0501531,"The ornamental design for “line guiding wheel for fishing rods,” as shown and described."
D0501532,"The ornamental design for a lavatory device, as shown and described."
D0501533,"The ornamental design for a filter device for rainwater downpipes, as shown and described."
D0501534,"I claim the ornamental design for a sprinkler, as shown and described."
D0501535,"I claim the ornamental design for a prostrate water sprinkler, as shown and described."
D0501536,"The ornamental design for a washing gun, as shown."
D0501537,"The ornamental design for a water sprayer gun, as shown and described."
D0501538,"The ornamental design for a water sprayer gun, as shown and described."
D0501539,"The ornamental design for an anti-kink sleeve for garden hose, as shown and described."
D0501540,"The ornamental design for a gutter spout, as shown and described."
D0501541,"The ornamental design for a sink, as shown and described."
D0501542,"The ornamental design for a sink, as shown and described."
D0501543,"The ornamental design for a water closet, as shown and described."
D0501544,"The ornamental design for a door panel for a residential gas furnace, as shown."
D0501545,"The ornamental design for an electric air freshener cover, as shown and described."
D0501546,"The ornamental design for a volatile actives dispenser, as shown and described."
D0501547,"The ornamental design for a duct with an indented end, as shown and described."
D0501548,"The ornamental design for a duct tap with an indented end, as shown and described."
D0501549,"The ornamental design for a capsule, as shown and described."
D0501550,"The ornamental design for a capsule, as shown and described."
D0501551,"The ornamental design for an insert for medicament dispenser, as shown and described."
D0501552,"The ornamental design for a housing for a medicament dispenser, as shown and described."
D0501553,"The ornamental design for an apertured film material for a sanitary napkin, as shown and described."
D0501554,"The ornamental design for “a head band for supporting a nasal cannula,” as shown and described."
D0501555,"We claim the ornamental design for an implant, as shown and described."
D0501556,"The ornamental design for an electrical sensor conductor pattern, as shown and described."
D0501557,"The ornamental design for a health assessment kiosk, as shown and described."
D0501558,"The ornamental design for a continuous wearable electrode connector assembly for ECG monitoring, as shown and described."
D0501559,"We claim the ornamental design for a wound dressing, as shown and described."
D0501560,"The ornamental design for an electrochemical test strip, as shown and described."
D0501561,"The ornamental design for a flask holder, as shown and described."
D0501562,"The ornamental design for a flask holder, as shown and described."
D0501563,"The ornamental design for the overhead door, as shown and described."
D0501564,"The ornamental design for a frame member for glass door, as shown and described."
D0501565,"The ornamental design for a door skin, as shown and described."
D0501566,"The ornamental design for the embossed single ply roofing membrane, as shown and described."
D0501567,"The ornamental design for a fluorescent lamp, as shown and described."
D0501568,"The ornamental design for a fluorescent lamp, as shown and described."
D0501569,"The ornamental design for a fluorescent lamp, as shown and described."
D0501570,"We claim the ornamental design for the front light assemblies for an all terrain vehicle, as shown and described."
D0501571,"The ornamental design for motorcycle turn indicator, as shown and described."
D0501572,"The ornamental design for a wall lamp, as shown and described."
D0501573,"The ornamental design for a lighting fixture, as described and shown."
D0501574,"The ornamental design for a light, substantially as shown and described."
D0501575,"The ornamental design for a table lamp, as shown and described."
D0501576,"The ornamental design for a bar lamp, as shown and described."
D0501577,"The ornamental design for the lamp, as shown and described."
D0501578,"The ornamental design for a ceiling fan light fixture, as shown and described."
D0501579,"The ornamental design for a cover for a slidable hair retainer for a hair coloring apparatus, as shown and described."
D0501580,"The ornamental design for an eyelash curler, as shown and described."
D0501581,"I claim the ornamental design for a nail art trainer, as shown and described."
D0501582,"The ornamental design for a waist binding strap, as shown and described."
D0501583,"The ornamental design for a belt exterior rear panel ornamentation, as shown and described."
D0501584,"The ornamental design for a “litter box housing,” as shown."
D0501585,"The ornamental design for a dishwasher, as shown and described."
D0501586,"The ornamental design for a dishwasher, as shown and described."
D0501587,"The ornamental design for the steam cleaner, as shown and described."
D0501588,"The ornamental design for a cleaning implement, as shown and described."
D0501589,"The ornamental design for a sweeper handle, as shown and described."
D0501590,"We claim the ornamental design for a fluid nozzle, as shown and described."
D0501591,"The ornamental design for a corrugated display cart, substantially, as shown and described."
D0501592,"The ornamental design for a set of components for a load bearing harness, as shown and described."
D0501593,"The ornamental design for an ossuary vessel, as shown and described."
D0501594,"We claim the ornamental design for portions of a post supportable mail box, as shown and described."
D0501595,"The ornamental design for a star in circle array for coin display, as shown and described."
H0002114,"1. An inspection system for performing optical tests associated with determining the imaging quality of a plurality of optical subsystems of an optical system, the optical tests being performed with a test mask having a plurality of measurable test patterns formed thereon, the inspection system comprising:

"
H0002114,"2. The system as recited in  wherein the measured data associated with test patterns of the test mask is compared to the measured data associated with the image of the test patterns as projected through the optical subsystems to determine the optical characteristics of the optical subsystems."
H0002114,"3. The system as recited in  wherein the measured data associated with test patterns of the test mask is calibrated out of the measured data associated with the image of the test patterns as projected through the optical subsystems to produce a resultant set of data that more closely matches the actual optical characteristics of the optical subsystems."
H0002114,"4. The system as recited in  wherein the optical characteristics correspond to focus or distortion characteristics."
H0002114,"5. The system as recited in  wherein the detector assembly includes a plurality of detector mechanisms for measuring the test patterns of the test mask and the images of the test patterns as projected through the optical subsystems."
H0002114,"6. The system as recited in  wherein the number of detector mechanisms corresponds to the number of optical subsystems."
H0002114,"7. The system as recited in  wherein the detector mechanisms are configured to simultaneously measure the optical characteristics of each of the optical subsystems."
H0002114,"8. The system as recited in  wherein the detector mechanisms each have an imaging element configured to measure distortion characteristics and a confocal element configured to measure focus characteristics."
H0002114,"9. The system as recited in  wherein the detector assembly is capable of moving during inspection so as to measure an array of test marks contained within each of the test patterns."
H0002114,"10. The system as recited in  wherein the detector assembly includes a plurality of detector mechanisms that are ganged together so as to gather data at the same time during movements by the detector assembly."
H0002114,"11. The system as recited in  further including a position location assembly configured to monitor the position of the detector assembly during movements thereof."
H0002114,"12. The system as recited in  wherein the position location assembly includes a 6 axis interferometer system that continuously monitors the position of the detector assembly."
H0002114,"13. The system as recited in  further including a mask assembly configured to hold the test mask during measurements and to move the test mask between a calibration position where the test patterns of the test mask are measured and a measurement position where the image of the test patterns are measured."
H0002114,"14. The system as recited in  wherein the mask assembly comprises:


"
H0002114,"15. The system as recited in  further including a position location assembly configured to monitor the position of the mask assembly."
H0002114,"16. The system as recited in  further including an illumination assembly configured to illuminate the test mask during measurement thereof."
H0002114,"17. The system as recited in  wherein illumination assembly comprises:


"
H0002114,"18. The system as recited in  wherein the detector assembly is capable of moving during measurements, and further including a mask assembly for moving the test mask to various test positions and a position location assembly for determining the position of the mask assembly and the position of the detector assembly relative to one or more reference points."
H0002114,"19. The system as recited in  wherein the reference point is defined by the assemblies themselves, some fixed portion of the system or some component external to the system."
H0002114,"20. The system as recited in  wherein the position location assembly includes a fixed reference frame configured to provide a reference point relative to the mask assembly and the detector assembly."
H0002114,"21. The system as recited in  wherein the position locator assembly includes one or more first sensors for determining the position of the mask assembly and one or more second sensors for determining the position of the detector assembly."
H0002114,"22. The system as recited in  wherein the first sensors are capacitance sensors and the second sensors are interferometer sensors."
H0002114,"23. The system as recited in  wherein the optical system is a projection unit used in a lithography system, each of the subsystems being configured to collect and direct a corresponding light beam to the surface of a substrate."
H0002114,"24. The system as recited in  further including a structural chassis and a support arrangement, the structural chassis being configured to support the support arrangement and the detector assembly, the support arrangement being configured to locate the projection unit relative to the detector system and an adjustment window, the adjustment window allowing adjustments to be made to the projection unit without removing the projection unit from the inspection system."
H0002114,"25. A detector assembly for use in a tool for inspecting optical systems having a plurality of optical subsystems, the detector assembly comprising:

"
H0002114,"26. The detector assembly as recited in  further including a detector box attached to a detector stage, the detector box containing the plurality of detector mechanisms, the detector stage being configured to move the detector box so as to move the detector mechanisms in positions for measuring the optical characteristics of the optical subsystems."
H0002114,"27. The detector assembly as recited in  wherein each of the detector mechanisms includes an objective lens and an optical testing system that is coupled to the objective lens."
H0002114,"28. The detector assembly as recited in  wherein the optical testing system includes a confocal subsystem configured to measure the optical characteristics associated with focus."
H0002114,"29. The detector assembly as recited in  wherein the optical testing system includes an imaging subsystem configured to measure optical characteristics associated with distortion or aberrations."
H0002114,"30. The detector assembly as recited in  wherein the optical testing system includes a confocal subsystem and an imaging subsystem."
H0002114,"31. A position location assembly for use in a tool for inspecting optical systems having a plurality of optical subsystems, the assembly comprising:

"
H0002114,"32. The position location assembly as recited in  wherein the detection system is a 6 axis interferometer system configured to provide positional information in the x, y and z directions as well as the rotational θ, θ, θdirections."
H0002114,"33. The position location assembly as recited in  wherein the one or more first sensors include a pair of x-axis interferometers and a y-axis interferometer, and wherein the one or more a second sensors include three z-axis interferometers, the pair of x-axis interferometers providing positional information in the x and θdirections, the y-axis interferometer providing positional information in the y direction, the z-axis interferometer providing positional information in the z, θand θdirections."
H0002114,"34. The position location assembly as recited in  wherein the pair of x-axis interferometers are spaced apart along a similar axis and positioned on the detector assembly across from the reference frame, the y-axis interferometer are positioned on the detector assembly across from the reference frame, the x-axis and y-axis interferometers interacting with a corresponding mirror positioned on the reference frame across from the corresponding interferometer."
H0002114,"35. The position location assembly as recited in  wherein a pair of z-axis interferometers are spaced apart along a similar axis and positioned on the detector assembly across from the test mask, the pair of z-axis interferometers interacting with a pair of corresponding mirrors positioned proximate the test mask across from the corresponding interferometers, and wherein the other z-axis interferometer is positioned on the reference frame, the other z-axis interferometer interacting with corresponding mirrors positioned proximate the test mask and on the detector assembly."
H0002114,"36. The position location assembly as recited in  further including a second detection system configured to determine the position of the test mask relative to one or more reference points, the detection system including one or more third sensors that measure the position of the test mask relative to the reference frame."
H0002114,"37. An inspection system, comprising:



"
H0002114,"38. The inspection system as recited in  wherein the position detection component includes an interferometer arrangement that produces a first beam that follows a first indirect path around the optical component to a first mirror and a second beam that follows a second indirect path around the optical component to a second mirror."
H0002114,"39. The inspection system as recited in  wherein a differential change in the length of the indirect paths indicates a change in distance between the test component and the detector component."
H0002114,"40. The inspection system as recited in  wherein the first and second indirect paths are proportional in length when the test component and the detector component are at first distance, and wherein the first and second indirect paths are not proportional in length when the test component and the detector component are at second distance."
H0002114,"41. The inspection system as recited in  wherein the position detection component includes one or more bending mirrors to direct the beams around the optical component."
H0002114,"42. The inspection system as recited in  wherein the first mirror is mounted on the test component, and wherein the second mirror is mounted on the detector component."
H0002114,"43. The inspection system as recited in  wherein the interferometer arrangement includes one or more interferometers for producing the first and second beams."
H0002114,"44. The inspection system as recited in  wherein the interferometer is disposed inside a frame, and wherein the first indirect path travels through a first portion of the frame and wherein the second indirect path travels through a second portion of the frame."
H0002114,"45. A method of self calibrating an inspection system, the inspection system being configured to inspect an optical component of a lithography system, the method comprising:



"
H0002114,"46. The method as recited in  wherein position measurements are performed so as to determine distortion characteristics of the optical components."
H0002114,"47. The method as recited in  wherein focus measurements are performed so as to determine focus characteristics of the optical components."
H0002114,"48. The method as recited in  wherein the optical characteristics of the optical component are determined during the comparison by calibrating out imperfections associated with the test mask and inspection system."
H0002114,"49. A method of inspecting optical projection units having multiple fields, the method comprising



"
PP015506,"1. A new and distinct variety of rose plant of the miniature class, substantially as herein illustrated and described as a distinct and novel rose variety due to its abundant, pink flowers, vigorous growth, compact habit, suitability for production from softwood cuttings in pots, and durable flowers and foliage which make the variety suitable for distribution in the floral industry."
PP015507,"1. A new and distinct variety of rose plant of the Compact class, substantially as herein illustrated and described as a distinct and novel rose variety due to its abundant, red flowers, vigorous growth, compact habit, suitability for production from softwood cuttings in pots, and durable flowers and foliage which make the variety suitable for distribution in the floral industry."
PP015508,"1. A new and distinct variety of rootstock tree named ‘Piku 3’ substantially as shown and described."
PP015509,"1. A new and distinct cultivar of plant named ‘2000-0716’, as illustrated and described."
PP015510,"1. A new and distinct cultivar of plant named ‘Sercia’, as illustrated and described."
PP015511,"1. A new and distinct cultivar of plant named ‘Sunny Yogretchen’, as illustrated and described."
PP015512,"1. A new and distinct variety of cherry tree, substantially as illustrated and described, that is most similar to the ‘Glenred’ (U.S. Plant Pat. No. 12,859) cherry by producing cherries that are large in size, oblate in shape, firm in texture, dark red in skin color, red in flesh color, and sweet in flavor, but is distinguished therefrom and an improvement thereon by blooming about three days later, by producing cherries that ripen about nine days later, and by being a pollinator for both the ‘Glenred’ and ‘Tulare’ (U.S. Plant Pat. No. 6,407) cherries."
PP015513,"1. A new and distinct cultivar of plant named ‘Fisrodark’, as described and illustrated herein."
PP015514,"1. A new and distinct cultivar of plant named ‘Gum Drop Red’, as illustrated and described."
PP015515,"1. A new and distinct cultivar of plant named ‘Goldream’, as described and illustrated herein."
PP015516,"1. A new and distinct cultivar of plant named ‘Balandpawn’ substantially, as herein shown and described, which:



"
PP015517,"1. A new and distinct plant that is a spontaneous whole plant mutation of the ‘Cadrou’ cultivar having the following combination of characteristics:




"
PP015518,"1. A new and distinct cultivar of plant named ‘Sulte Litpinka’, as illustrated and described."
PP015519,"1. A new and distinct cultivar of plant named ‘Lava Rose’, as illustrated and described."
PP015520,"1. A new and distinct cultivar of plant named ‘Sulte Redyel’, as illustrated and described."
PP015521,"1. A new and distinct cultivar of plant named ‘Coditer’, as illustrated and described."
PP015522,"1. A new variety of plant of the variety substantially as shown and described."
PP015523,"1. A new and distinct plant having the following combination of characteristics:




"
PP015524,"1. A new and distinct cultivar of plant as shown and described herein."
PP015525,"1. A new and distinct variety of plant as described and illustrated."
PP015526,"1. A new and distinct variety of plant, named ‘Loboudtis’, as illustrated and described."
PP015527,"1. A new and distinct cultivar of plant as shown and described herein."
PP015528,"1. A new and distinct cultivar of plant characterized by its large size, upright habit and very large deeply palmately lobed leaves with a dark stripe down the veins."
PP015529,"1. A new and distinct cultivar of Interspecific plant named ‘Balwincor’ substantially, as herein shown and described, which:



"
PP015530,"1. A new and distinct cultivar of plant named ‘HGC Double Surprise’, as illustrated and described."
RE038690,"1. A toilet attachment to be positioned between a toilet seat and a toilet bowl and to be connected to a fluid line, comprising:


"
RE038690,"2. The toilet attachment of , wherein the base plate further comprises a channel, said channel extending parallel to said upper surface and connecting said ports."
RE038690,"3. The toilet attachment of , wherein the channel is a groove having a cross section configured to hold a flexible tube and an opening at the upper surface of the base plate smaller than the diameter of the tube but large enough so the tube can be removably inserted into the channel."
RE038690,"4. The toilet attachment of , wherein the tube is placed in the groove and the groove receives the tube in a press-fit manner."
RE038690,"5. The toilet attachment of , wherein the groove contains at least one projection located in proximity to one of said ports to secure the fluid line."
